,Title,Year,Age,Rotten Tomatoes,Netflix,Amazon,emmy_nomination,emmy_win,oscar_nomination,oscar_win,Type,IMDb,Genres
0,The Irishman,2019,18+,98/100,1,0,0,0,10,0,movie,7.8,"['Biography', 'Crime', 'Drama']"
1,Dangal,2016,7+,97/100,1,0,0,0,0,0,movie,8.4,"['Action', 'Biography', 'Drama', 'Sport']"
2,David Attenborough: A Life on Our Planet,2020,7+,95/100,1,0,0,0,0,0,movie,9.0,"['Documentary', 'Biography']"
3,Lagaan: Once Upon a Time in India,2001,7+,94/100,1,0,0,0,0,0,movie,8.1,"['Drama', 'Musical', 'Sport']"
4,Roma,2018,18+,94/100,1,0,0,0,10,3,movie,7.7,['Drama']
5,To All the Boys I've Loved Before,2018,13+,94/100,1,0,0,0,0,0,movie,7.1,"['Comedy', 'Drama', 'Romance']"
6,The Social Dilemma,2020,13+,93/100,1,0,0,0,0,0,movie,7.6,"['Documentary', 'Drama']"
7,Okja,2017,13+,92/100,1,0,0,0,0,0,movie,7.3,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
8,The Ballad of Buster Scruggs,2018,16+,92/100,1,0,0,0,3,0,movie,7.3,"['Comedy', 'Drama', 'Musical', 'Mystery', 'Romance', 'Western']"
9,The Trial of the Chicago 7,2020,18+,92/100,1,0,0,0,0,0,movie,7.8,"['Drama', 'History', 'Thriller']"
10,Article 15,2019,18+,92/100,1,0,0,0,0,0,movie,8.2,"['Crime', 'Drama', 'Mystery', 'Thriller']"
11,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92/100,1,0,0,0,0,0,movie,7.7,['Documentary']
12,Dolemite Is My Name,2019,18+,92/100,1,0,0,0,0,0,movie,7.3,"['Biography', 'Comedy', 'Drama']"
13,Mudbound,2017,18+,91/100,1,0,0,0,4,0,movie,7.4,"['Drama', 'War']"
14,Swades,2004,all,91/100,1,0,0,0,0,0,movie,8.2,"['Drama', 'Musical']"
15,Fyre,2019,18+,91/100,1,0,0,0,0,0,movie,7.2,"['Documentary', 'Crime', 'Music']"
16,Miss Americana,2020,18+,90/100,1,0,0,0,0,0,movie,7.4,"['Documentary', 'Biography', 'Music']"
17,Virunga,2014,16+,90/100,1,0,3,2,1,0,movie,8.2,"['Documentary', 'War']"
18,Black Friday,2004,18+,90/100,1,0,0,0,0,0,movie,8.5,"['Action', 'Crime', 'Drama', 'History']"
19,Talvar,2015,7+,90/100,1,0,0,0,0,0,movie,8.2,"['Crime', 'Drama', 'Mystery', 'Thriller']"
20,The King,2019,18+,90/100,1,0,0,0,0,0,movie,7.3,"['Biography', 'Drama', 'History', 'Romance', 'War']"
21,John Mulaney: Kid Gorgeous at Radio City,2018,18+,89/100,1,0,0,0,0,0,movie,8.0,['Comedy']
22,I Am Mother,2019,13+,89/100,1,0,0,0,0,0,movie,6.7,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
23,Tell Me Who I Am,2019,18+,89/100,1,0,0,0,0,0,movie,7.6,"['Documentary', 'Drama', 'Mystery']"
24,The Departed,2006,18+,89/100,1,0,0,0,5,4,movie,8.5,"['Crime', 'Drama', 'Thriller']"
25,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89/100,1,0,0,0,1,0,movie,8.4,['Documentary']
26,Terminator 2: Judgment Day,1991,18+,89/100,1,0,0,0,6,4,movie,8.5,"['Action', 'Sci-Fi']"
27,I Lost My Body,2019,18+,89/100,1,0,0,0,1,0,movie,7.6,"['Animation', 'Drama', 'Fantasy', 'Romance']"
28,Django Unchained,2012,18+,89/100,1,0,0,0,5,2,movie,8.4,"['Drama', 'Western']"
29,The Half of It,2020,13+,89/100,1,0,0,0,0,0,movie,6.9,"['Comedy', 'Drama', 'Romance']"
30,The Boy Who Harnessed the Wind,2019,7+,89/100,1,0,0,0,0,0,movie,7.6,"['Biography', 'Drama', 'History']"
31,The Devil All the Time,2020,18+,89/100,1,0,0,0,0,0,movie,7.1,"['Crime', 'Drama', 'Thriller']"
32,The Fundamentals of Caring,2016,18+,89/100,1,0,0,0,0,0,movie,7.3,"['Comedy', 'Drama']"
33,Pieces of a Woman,2020,18+,88/100,1,0,0,0,0,0,movie,7.1,['Drama']
34,Gerald's Game,2017,18+,88/100,1,0,0,0,0,0,movie,6.5,"['Drama', 'Horror', 'Thriller']"
35,On Body and Soul,2017,,88/100,1,0,0,0,1,0,movie,7.6,"['Drama', 'Fantasy', 'Mystery', 'Romance']"
36,Shutter Island,2010,18+,88/100,1,0,0,0,0,0,movie,8.2,"['Mystery', 'Thriller']"
37,Always Be My Maybe,2019,13+,88/100,1,0,0,0,0,0,movie,6.8,"['Comedy', 'Romance']"
38,The Intouchables,2011,7+,88/100,1,0,0,0,0,0,movie,8.5,"['Biography', 'Comedy', 'Drama']"
39,Bill Burr: Paper Tiger,2019,18+,87/100,1,0,0,0,0,0,movie,8.2,['Comedy']
40,Special 26,2013,,87/100,1,0,0,0,0,0,movie,8.0,"['Crime', 'Drama', 'Thriller']"
41,Kiss the Ground,2020,18+,87/100,1,0,0,0,0,0,movie,8.3,['Documentary']
42,Crip Camp: A Disability Revolution,2020,18+,87/100,1,0,0,0,0,0,episode,,['Talk-Show']
43,Extraction,2020,18+,87/100,1,0,0,0,0,0,movie,6.7,"['Action', 'Thriller']"
44,No Direction Home: Bob Dylan,2005,all,87/100,1,0,0,0,0,0,episode,8.5,"['Documentary', 'Biography']"
45,Kabhi Khushi Kabhie Gham,2001,all,87/100,1,0,0,0,0,0,movie,7.4,"['Drama', 'Musical', 'Romance']"
46,His House,2020,16+,87/100,1,0,0,0,0,0,movie,6.5,"['Drama', 'Horror', 'Thriller']"
47,Super Deluxe,2019,18+,87/100,1,0,0,0,0,0,movie,8.4,"['Comedy', 'Crime', 'Drama', 'Thriller']"
48,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87/100,1,0,0,0,0,0,movie,7.4,"['Drama', 'Romance', 'War']"
49,A Secret Love,2020,18+,87/100,1,0,0,0,0,0,movie,7.9,"['Documentary', 'Drama']"
50,The Night Comes for Us,2018,18+,87/100,1,0,0,0,0,0,movie,7.0,"['Action', 'Thriller']"
51,The Big Lebowski,1998,18+,87/100,1,0,0,0,0,0,movie,8.1,"['Comedy', 'Crime', 'Sport']"
52,Pad Man,2018,13+,87/100,1,0,0,0,0,0,movie,7.9,"['Comedy', 'Drama']"
53,American Factory,2019,13+,86/100,1,0,0,0,1,1,movie,7.4,['Documentary']
54,Bird Box,2018,18+,86/100,1,0,0,0,0,0,movie,6.6,"['Horror', 'Sci-Fi']"
55,The Pianist,2002,18+,86/100,1,0,0,0,7,3,movie,8.5,"['Biography', 'Drama', 'Music', 'War']"
56,3 Idiots,2009,13+,86/100,1,0,0,0,0,0,movie,8.4,"['Comedy', 'Drama']"
57,The Distinguished Citizen,2016,,86/100,1,0,0,0,0,0,movie,7.5,"['Comedy', 'Drama']"
58,A Shaun the Sheep Movie: Farmageddon,2019,all,86/100,1,0,0,0,0,0,movie,6.8,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
59,A Clockwork Orange,1971,18+,86/100,1,0,0,0,4,0,movie,8.3,"['Crime', 'Sci-Fi']"
60,What Happened to Monday,2017,18+,86/100,1,0,0,0,0,0,movie,6.9,"['Action', 'Crime', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']"
61,Anthony Jeselnik: Thoughts and Prayers,2015,18+,86/100,1,0,0,0,0,0,video movie,7.8,['Comedy']
62,The White Helmets,2016,16+,86/100,1,0,2,0,1,1,movie,7.5,"['Documentary', 'Short', 'War']"
63,Invader ZIM: Enter the Florpus,2019,7+,86/100,1,0,0,0,0,0,tv movie,7.5,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']"
64,Happy as Lazzaro,2018,13+,85/100,1,0,0,0,0,0,movie,7.5,"['Drama', 'Fantasy', 'Mystery']"
65,Chasing Coral,2017,,85/100,1,0,0,0,0,0,movie,8.1,['Documentary']
66,Kal Ho Naa Ho,2003,all,85/100,1,0,0,0,0,0,movie,7.9,"['Comedy', 'Drama', 'Musical', 'Romance']"
67,Pan's Labyrinth,2006,18+,85/100,1,0,0,0,6,3,movie,8.2,"['Drama', 'Fantasy', 'War']"
68,Team Foxcatcher,2016,16+,85/100,1,0,0,0,0,0,movie,7.3,"['Documentary', 'Biography', 'Crime', 'History', 'Sport']"
69,The Meyerowitz Stories (New and Selected),2017,18+,85/100,1,0,0,0,0,0,movie,6.9,"['Comedy', 'Drama']"
70,Casino Royale,2006,13+,85/100,1,0,0,0,1,0,movie,8.0,"['Action', 'Adventure', 'Thriller']"
71,The Hateful Eight,2015,18+,85/100,1,0,0,0,3,1,movie,7.8,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Western']"
72,Rush,2013,18+,84/100,1,0,0,0,0,0,movie,8.1,"['Action', 'Biography', 'Drama', 'Sport']"
73,Zombieland,2009,18+,84/100,1,0,0,0,0,0,movie,7.6,"['Action', 'Comedy', 'Horror']"
74,Eurovision Song Contest: The Story of Fire Saga,2020,13+,84/100,1,0,0,0,0,0,movie,6.5,"['Comedy', 'Musical']"
75,Kapoor & Sons,2016,13+,84/100,1,0,0,0,0,0,movie,7.7,"['Comedy', 'Drama', 'Family', 'Romance']"
76,The Perfection,2018,18+,84/100,1,0,0,0,0,0,movie,6.2,"['Drama', 'Horror', 'Music', 'Thriller']"
77,Dave Chappelle: Sticks & Stones,2019,18+,84/100,1,0,0,0,0,0,movie,8.5,['Comedy']
78,There Will Be Blood,2007,18+,84/100,1,0,0,0,8,2,movie,8.2,['Drama']
79,Million Dollar Baby,2004,13+,84/100,1,0,0,0,7,4,movie,8.1,"['Drama', 'Sport']"
80,The Social Network,2010,13+,84/100,1,0,0,0,8,3,movie,7.7,"['Biography', 'Drama']"
81,The Christmas Chronicles,2018,7+,84/100,1,0,0,0,0,0,movie,7.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
82,Monty Python and the Holy Grail,1975,7+,84/100,1,0,0,0,0,0,movie,8.2,"['Adventure', 'Comedy', 'Fantasy']"
83,The Pixar Story,2007,all,84/100,1,0,1,0,0,0,movie,7.8,['Documentary']
84,Ma Rainey's Black Bottom,2020,18+,84/100,1,0,0,0,0,0,movie,6.9,"['Drama', 'Music']"
85,Calibre,2018,18+,84/100,1,0,0,0,0,0,movie,6.8,"['Drama', 'Thriller']"
86,Silver Linings Playbook,2012,18+,84/100,1,0,0,0,8,1,movie,7.7,"['Comedy', 'Drama', 'Romance']"
87,Over the Moon,2020,7+,84/100,1,0,0,0,0,0,movie,6.4,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Sci-Fi']"
88,"What Happened, Miss Simone?",2015,,84/100,1,0,6,1,1,0,movie,7.6,"['Documentary', 'Biography', 'Music']"
89,Nightcrawler,2014,18+,84/100,1,0,0,0,1,0,movie,7.8,"['Crime', 'Drama', 'Thriller']"
90,1922,2017,18+,84/100,1,0,0,0,0,0,movie,6.3,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']"
91,Paddleton,2019,18+,84/100,1,0,0,0,0,0,movie,7.2,"['Comedy', 'Drama']"
92,Cargo,2017,,84/100,1,0,0,0,0,0,movie,6.3,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']"
93,Rain Man,1988,18+,83/100,1,0,0,0,8,4,movie,8.0,['Drama']
94,Cuba and the Cameraman,2017,,83/100,1,0,0,0,0,0,movie,8.3,['Documentary']
95,The Ritual,2017,18+,83/100,1,0,0,0,0,0,movie,6.3,"['Horror', 'Mystery', 'Thriller']"
96,The Hater,2020,18+,83/100,1,0,0,0,0,0,movie,7.1,"['Drama', 'Thriller']"
97,The Edge of Democracy,2019,16+,83/100,1,0,0,0,1,0,movie,7.2,"['Documentary', 'History']"
98,22-Jul,2018,18+,83/100,1,0,0,0,0,0,episode,,"['Comedy', 'News', 'Reality-TV']"
99,Adam Sandler: 100% Fresh,2018,18+,83/100,1,0,1,0,0,0,movie,7.6,"['Comedy', 'Music']"
100,Guru,2007,13+,83/100,1,0,0,0,0,0,movie,7.7,['Drama']
101,A Twelve-Year Night,2018,18+,83/100,1,0,0,0,0,0,movie,7.5,"['Adventure', 'Biography', 'Crime', 'Drama', 'History']"
102,Dumplin',2018,13+,83/100,1,0,0,0,0,0,movie,6.6,"['Comedy', 'Drama']"
103,The Conjuring,2013,18+,83/100,1,0,0,0,0,0,movie,7.5,"['Horror', 'Mystery', 'Thriller']"
104,Marriage Story,2019,18+,83/100,1,0,0,0,6,1,movie,7.9,"['Comedy', 'Drama', 'Romance']"
105,My Octopus Teacher,2020,all,83/100,1,0,0,0,0,0,movie,8.1,['Documentary']
106,About Time,2013,13+,83/100,1,0,0,0,0,0,movie,7.8,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']"
107,Hey Arnold! The Jungle Movie,2017,7+,83/100,1,0,1,1,0,0,tv movie,7.6,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
108,Kung Fu Panda,2008,7+,83/100,1,0,0,0,1,0,movie,7.6,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
109,Superbad,2007,18+,83/100,1,0,0,0,0,0,movie,7.6,['Comedy']
110,The Invisible Guest,2016,18+,83/100,1,0,0,0,0,0,movie,8.1,"['Crime', 'Drama', 'Mystery', 'Thriller']"
111,Chinatown,1974,18+,82/100,1,0,0,0,11,1,movie,8.2,"['Drama', 'Mystery', 'Thriller']"
112,Mystic River,2003,18+,82/100,1,0,0,0,6,2,movie,7.9,"['Crime', 'Drama', 'Mystery', 'Thriller']"
113,The Theory of Everything,2014,13+,82/100,1,0,0,0,5,1,movie,7.7,"['Biography', 'Drama', 'Romance']"
114,Springsteen On Broadway,2018,,82/100,1,0,2,1,0,0,tv movie,8.5,"['Documentary', 'Music']"
115,The Life Ahead,2020,13+,82/100,1,0,0,0,0,0,movie,6.8,['Drama']
116,The Terminal,2004,13+,82/100,1,1,0,0,0,0,movie,7.4,"['Comedy', 'Drama', 'Romance']"
117,Scott Pilgrim vs. the World,2010,13+,82/100,1,0,0,0,0,0,movie,7.5,"['Action', 'Comedy', 'Fantasy', 'Romance']"
118,Being Elmo: A Puppeteer's Journey,2011,7+,82/100,1,0,0,0,0,0,movie,7.6,['Documentary']
119,Life of Brian,1979,18+,82/100,1,0,0,0,0,0,movie,8.1,['Comedy']
120,The Resistance Banker,2018,18+,82/100,1,0,0,0,0,0,movie,6.9,"['Biography', 'Drama', 'War']"
121,How to Train Your Dragon 2,2014,7+,82/100,1,0,0,0,1,0,movie,7.8,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
122,The Endless Trench,2019,,82/100,1,0,0,0,0,0,movie,7.2,"['Drama', 'History']"
123,Even the Rain,2010,,82/100,1,0,0,0,0,0,movie,7.4,"['Drama', 'History']"
124,Love Actually,2003,18+,82/100,1,0,0,0,0,0,movie,7.6,"['Comedy', 'Drama', 'Romance']"
125,Dear Ex,2018,18+,82/100,1,0,0,0,0,0,movie,7.4,"['Comedy', 'Drama', 'Romance']"
126,Braven,2018,18+,82/100,1,0,0,0,0,0,movie,5.9,"['Action', 'Thriller']"
127,Period. End of Sentence.,2018,,82/100,1,0,0,0,1,1,movie,7.4,"['Documentary', 'Short']"
128,Captain Fantastic,2016,18+,82/100,1,0,0,0,1,0,movie,7.9,"['Comedy', 'Drama']"
129,Veronica,2017,18+,81/100,1,0,0,0,0,0,movie,6.2,['Horror']
130,The Siege of Jadotville,2016,,81/100,1,0,0,0,0,0,movie,7.2,"['Action', 'Drama', 'History', 'Thriller', 'War']"
131,Into the Inferno,2016,,81/100,1,0,0,0,0,0,movie,7.2,['Documentary']
132,Ricky Gervais: Humanity,2018,18+,81/100,1,0,0,0,0,0,movie,8.0,['Comedy']
133,A Whisker Away,2020,7+,81/100,1,0,0,0,0,0,movie,6.7,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Romance']"
134,Lady Bird,2017,18+,81/100,1,0,0,0,5,0,movie,7.4,"['Comedy', 'Drama']"
135,Road to Perdition,2002,18+,81/100,1,0,0,0,6,1,movie,7.7,"['Crime', 'Drama', 'Thriller']"
136,Boogie Nights,1997,18+,81/100,1,0,0,0,3,0,movie,7.9,['Drama']
137,Total Recall,1990,16+,81/100,1,0,0,0,3,1,movie,7.5,"['Action', 'Adventure', 'Sci-Fi']"
138,Bo Burnham: Inside,2021,18+,81/100,1,0,0,0,0,0,episode,8.0,"['Comedy', 'Talk-Show']"
139,Snowpiercer,2013,18+,81/100,1,0,0,0,0,0,movie,7.1,"['Action', 'Drama', 'Sci-Fi']"
140,Circus of Books,2019,,81/100,1,0,0,0,0,0,movie,7.1,"['Documentary', 'Biography', 'History']"
141,Tallulah,2016,,81/100,1,0,0,0,0,0,movie,6.7,"['Comedy', 'Drama', 'Romance']"
142,The Conjuring 2,2016,18+,81/100,1,0,0,0,0,0,movie,7.3,"['Horror', 'Mystery', 'Thriller']"
143,They'll Love Me When I'm Dead,2018,18+,81/100,1,0,0,0,0,0,movie,7.4,['Documentary']
144,Nocturnal Animals,2016,18+,81/100,1,0,0,0,1,0,movie,7.5,"['Drama', 'Thriller']"
145,Get Me Roger Stone,2017,16+,81/100,1,0,0,0,0,0,movie,7.3,"['Documentary', 'Biography']"
146,Hachi: A Dog's Tale,2009,all,81/100,1,0,0,0,0,0,movie,8.1,"['Biography', 'Drama', 'Family']"
147,Dances with Wolves,1990,13+,80/100,1,0,0,0,0,0,movie,8.0,"['Adventure', 'Drama', 'Western']"
148,Udta Punjab,2016,18+,80/100,1,0,0,0,0,0,movie,7.8,"['Action', 'Crime', 'Drama']"
149,Bareilly's Barfi,2017,,80/100,1,0,0,0,0,0,movie,7.5,"['Comedy', 'Romance']"
150,Divines,2016,,80/100,1,0,0,0,0,0,movie,7.4,"['Crime', 'Drama']"
151,Maktub,2017,7+,80/100,1,0,0,0,0,0,movie,7.3,"['Comedy', 'Drama']"
152,Ittefaq,2017,7+,80/100,1,0,0,0,0,0,movie,7.3,"['Crime', 'Mystery', 'Thriller']"
153,Hannah Gadsby: Nanette,2018,18+,80/100,1,0,2,1,0,0,movie,8.1,"['Documentary', 'Comedy']"
154,Ali Wong: Hard Knock Wife,2018,18+,80/100,1,0,0,0,0,0,movie,7.4,['Comedy']
155,Seven Pounds,2008,13+,80/100,1,1,0,0,0,0,movie,7.6,['Drama']
156,Uncut Gems,2019,18+,80/100,1,0,0,0,0,0,movie,7.4,"['Crime', 'Drama', 'Thriller']"
157,The Kindergarten Teacher,2018,18+,80/100,1,0,0,0,0,0,movie,6.7,"['Drama', 'Thriller']"
158,Les Misérables,2012,13+,80/100,1,1,0,0,9,3,movie,7.6,"['Drama', 'Musical', 'Romance']"
159,The Sky Is Pink,2019,,80/100,1,0,0,0,0,0,movie,7.6,"['Drama', 'Romance']"
160,Next Gen,2018,7+,80/100,1,0,0,0,0,0,movie,6.6,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']"
161,Tom Segura: Disgraceful,2018,13+,80/100,1,0,0,0,0,0,movie,7.6,"['Documentary', 'Comedy']"
162,My Happy Family,2017,,80/100,1,0,0,0,0,0,movie,7.4,['Drama']
163,The American Meme,2018,,80/100,1,0,0,0,0,0,movie,6.6,['Documentary']
164,Badla,2019,7+,80/100,1,0,0,0,0,0,movie,7.8,"['Crime', 'Drama', 'Mystery', 'Thriller']"
165,Okko's Inn,2018,7+,80/100,1,0,0,0,0,0,movie,7.1,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy']"
166,The Willoughbys,2020,7+,80/100,1,0,0,0,0,0,movie,6.4,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']"
167,Hunt for the Wilderpeople,2016,13+,80/100,1,0,0,0,0,0,movie,7.9,"['Adventure', 'Comedy', 'Drama']"
168,Stardust,2007,13+,79/100,1,0,0,0,0,0,movie,7.6,"['Adventure', 'Family', 'Fantasy', 'Romance']"
169,Wheelman,2017,18+,79/100,1,0,0,0,0,0,movie,6.4,"['Action', 'Crime', 'Thriller']"
170,The Artist,2011,13+,79/100,1,0,0,0,10,5,movie,7.9,"['Comedy', 'Drama', 'Romance']"
171,On My Skin,2018,18+,79/100,1,0,0,0,0,0,tv series,7.9,"['Comedy', 'Drama']"
172,Gaga: Five Foot Two,2017,18+,79/100,1,0,0,0,0,0,movie,7.0,"['Documentary', 'Music']"
173,Hugo,2011,7+,79/100,1,0,0,0,11,5,movie,7.5,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Mystery']"
174,The Impossible,2012,13+,79/100,1,0,0,0,1,0,movie,7.6,"['Drama', 'History', 'Thriller']"
175,War Dogs,2016,18+,79/100,1,0,0,0,0,0,movie,7.1,"['Biography', 'Comedy', 'Crime', 'Drama', 'War']"
176,Ip Man,2008,18+,79/100,1,0,0,0,0,0,movie,8.0,"['Action', 'Biography', 'Drama', 'History']"
177,The Speed Cubers,2020,,79/100,1,0,0,0,0,0,movie,7.4,"['Documentary', 'Short', 'Sport']"
178,Kung Fu Panda 2,2011,7+,79/100,1,0,0,0,1,0,movie,7.2,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
179,The Dirt,2019,18+,79/100,1,0,0,0,0,0,movie,7.0,"['Biography', 'Comedy', 'Drama', 'Music']"
180,Andhadhun,2018,,79/100,1,0,0,0,0,0,movie,8.2,"['Comedy', 'Crime', 'Music', 'Mystery', 'Thriller']"
181,Atlantics,2019,13+,79/100,1,0,0,0,0,0,movie,6.7,"['Drama', 'Mystery', 'Romance']"
182,37 Seconds,2019,,79/100,1,0,0,0,0,0,movie,7.3,['Drama']
183,El Camino: A Breaking Bad Movie,2019,18+,79/100,1,0,0,0,0,0,movie,7.3,"['Action', 'Crime', 'Drama', 'Thriller']"
184,Underworld,2003,18+,79/100,1,1,0,0,1,1,movie,7.0,"['Action', 'Fantasy', 'Thriller']"
185,The Ring,2002,13+,79/100,1,1,0,0,0,0,movie,7.1,"['Horror', 'Mystery']"
186,Hold the Dark,2018,,79/100,1,0,0,0,0,0,movie,5.6,"['Action', 'Drama', 'Thriller']"
187,The Karate Kid,1984,7+,79/100,1,0,0,0,1,0,movie,7.3,"['Action', 'Drama', 'Family', 'Sport']"
188,Quincy,2018,18+,79/100,1,0,5,0,0,0,movie,7.6,"['Documentary', 'Biography']"
189,The Patriot,2000,18+,79/100,1,0,0,0,8,1,movie,7.2,"['Action', 'Drama', 'History', 'War']"
190,Get In,2019,18+,79/100,1,0,0,0,0,0,movie,5.6,"['Drama', 'Horror', 'Thriller']"
191,ZZ Top: That Little Ol' Band From Texas,2019,,79/100,1,0,0,0,0,0,movie,7.5,"['Documentary', 'Biography', 'Music']"
192,Jerry Before Seinfeld,2017,16+,79/100,1,0,0,0,0,0,movie,7.0,['Comedy']
193,Mike Birbiglia: The New One,2019,,78/100,1,0,0,0,0,0,movie,7.7,['Comedy']
194,A Silent Voice: The Movie,2016,13+,78/100,1,0,0,0,0,0,movie,8.2,"['Animation', 'Drama']"
195,Klaus,2019,7+,78/100,1,0,0,0,1,0,movie,8.2,"['Animation', 'Adventure', 'Comedy', 'Family']"
196,Snowden,2016,18+,78/100,1,0,0,0,0,0,movie,7.3,"['Biography', 'Crime', 'Drama', 'Thriller']"
197,"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,18+,78/100,1,0,0,0,0,0,,,['nan']
198,What's Eating Gilbert Grape,1993,13+,78/100,1,0,0,0,1,0,movie,7.7,['Drama']
199,The Da Vinci Code,2006,13+,78/100,1,0,0,0,0,0,movie,6.6,"['Mystery', 'Thriller']"
200,Stranger Than Fiction,2006,13+,78/100,1,0,0,0,0,0,movie,7.5,"['Comedy', 'Drama', 'Fantasy', 'Romance']"
201,Don 2,2011,,78/100,1,0,0,0,0,0,movie,7.1,"['Action', 'Crime', 'Thriller']"
202,Elena,2013,,78/100,1,0,0,0,0,0,tv movie,,['Biography']
203,Real Steel,2011,13+,78/100,1,0,0,0,1,0,movie,7.0,"['Action', 'Drama', 'Sci-Fi', 'Sport']"
204,The Founder,2017,13+,78/100,1,0,0,0,0,0,episode,,['News']
205,Stargate,1994,13+,78/100,1,0,0,0,0,0,movie,7.1,"['Action', 'Adventure', 'Sci-Fi']"
206,Shirkers,2018,,78/100,1,0,0,0,0,0,movie,7.4,['Documentary']
207,Chef,2014,18+,78/100,1,0,0,0,0,0,movie,7.3,"['Adventure', 'Comedy', 'Drama']"
208,Fire in the Blood,2013,,78/100,1,0,0,0,0,0,movie,7.7,"['Documentary', 'History']"
209,Austin Powers: International Man of Mystery,1997,13+,78/100,1,0,0,0,0,0,movie,7.0,"['Adventure', 'Comedy']"
210,Miles Davis: Birth of the Cool,2019,,78/100,1,0,0,0,0,0,movie,7.5,['Biography']
211,Insidious,2010,13+,78/100,1,0,0,0,0,0,movie,6.8,"['Horror', 'Mystery', 'Thriller']"
212,Screwball,2019,,78/100,1,0,0,0,0,0,,,['nan']
213,The Old Guard,2020,18+,78/100,1,0,0,0,0,0,movie,6.7,"['Action', 'Adventure', 'Fantasy', 'Thriller']"
214,Rango,2011,7+,78/100,1,0,0,0,1,1,movie,7.2,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Western']"
215,Before I Wake,2016,13+,78/100,1,0,0,0,0,0,movie,6.2,"['Drama', 'Fantasy', 'Horror', 'Thriller']"
216,The Disaster Artist,2017,18+,78/100,1,0,0,0,1,0,movie,7.3,"['Biography', 'Comedy', 'Drama']"
217,Fruitvale Station,2013,18+,77/100,1,0,0,0,0,0,movie,7.5,"['Biography', 'Crime', 'Drama', 'Romance']"
218,The Florida Project,2017,18+,77/100,1,0,0,0,1,0,movie,7.6,['Drama']
219,Behind the Curve,2018,16+,77/100,1,0,0,0,0,0,movie,6.5,['Documentary']
220,Lawless,2012,18+,77/100,1,0,0,0,0,0,movie,7.3,"['Biography', 'Crime', 'Drama']"
221,Errementari: The Blacksmith and the Devil,2018,18+,77/100,1,0,0,0,0,0,,,['nan']
222,Audrie & Daisy,2016,,77/100,1,0,0,0,0,0,movie,7.2,"['Documentary', 'Crime']"
223,Quantum of Solace,2008,13+,77/100,1,0,0,0,0,0,movie,6.6,"['Action', 'Adventure', 'Thriller']"
224,The Master,2012,18+,77/100,1,0,0,0,3,0,movie,7.2,['Drama']
225,Layer Cake,2004,18+,77/100,1,0,0,0,0,0,movie,7.3,"['Action', 'Crime', 'Drama', 'Thriller']"
226,Flipped,2010,7+,77/100,1,0,0,0,0,0,movie,7.7,"['Comedy', 'Drama', 'Romance']"
227,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,16+,77/100,1,0,0,0,0,0,movie,7.1,['Comedy']
228,Friends with Benefits,2011,18+,77/100,1,0,0,0,0,0,movie,6.5,"['Comedy', 'Romance']"
229,Tig,2015,,77/100,1,0,0,0,0,0,movie,7.4,['Documentary']
230,Roll Red Roll,2019,,77/100,1,0,0,0,0,0,episode,,['Documentary']
231,Enola Holmes,2020,13+,77/100,1,0,0,0,0,0,movie,6.6,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery']"
232,PK,2015,13+,77/100,1,0,0,0,0,0,video movie,,['Short']
233,Good Time,2017,18+,77/100,1,0,0,0,0,0,movie,7.4,"['Crime', 'Drama', 'Thriller']"
234,The Next Three Days,2010,13+,77/100,1,0,0,0,0,0,movie,7.3,"['Action', 'Crime', 'Drama', 'Romance', 'Thriller']"
235,Miracle in Cell No. 7,2019,16+,77/100,1,0,0,0,0,0,movie,8.2,['Drama']
