,price,address,overall_size,brokerage,street,city,state,zip_code,beds,baths,sq_ft
0,"$250,000 ","10 Mills St, Roxbury, MA 02119","3 bds2 ba1,532 sqft - House for sale","HOWE REALTY GROUP, Curtis Howe",10 Mills St, Roxbury,MA,2119,3,2,1532
1,"$399,900 ","28 Stanton St, Dorchester, MA 02124","6 bds2 ba2,003 sqft - Foreclosure","KELLER WILLIAMS SOUTH WATUPPA, The Ponte Group",28 Stanton St, Dorchester,MA,2124,6,2,2003
2,"$109,000 ","1515 Vfw Pkwy TRAILER M21, West Roxbury, MA 02132",2 bds1 ba650 sqft - Home for sale,"SETTLERS REALTY GROUP, LLC, Sergio Froes Oliveira",1515 Vfw Pkwy TRAILER M21, West Roxbury,MA,2132,2,1,650
3,"$849,999 ","107 Chestnut Ave, Jamaica Plain, MA 02130","5 bds2 ba1,877 sqft - House for sale","ARBORVIEW REALTY INC., Christian  Iantosca Team",107 Chestnut Ave, Jamaica Plain,MA,2130,5,2,1877
4,"$675,000 ","35 Manor St, Boston, MA 02122","4 bds2 ba2,716 sqft - House for sale","KELLER WILLIAMS REALTY, Depend on Dakota Team",35 Manor St, Boston,MA,2122,4,2,2716
5,"$650,000 ","49 Wellington Hill St, Mattapan, MA 02126","7 bds3 ba3,409 sqft - House for sale","THUMBPRINT REALTY, LLC, Erica Davis",49 Wellington Hill St, Mattapan,MA,2126,7,3,3409
6,"$350,000 ","318 Summit Ave APT B, Brighton, MA 02135",2 bds1 ba610 sqft - Condo for sale,"EXP REALTY, Todor Todorov",318 Summit Ave APT B, Brighton,MA,2135,2,1,610
7,"$599,000 ","660 Massachusetts Ave #3, Boston, MA 02118",2 bds1 ba760 sqft - Townhouse for sale,"COLDWELL BANKER REALTY - BOSTON, Jonathan Radford",660 Massachusetts Ave #3, Boston,MA,2118,2,1,760
8,"$550,000 ","4 Ballou Pl, Dorchester, MA 02124","3 bds2 ba1,670 sqft - House for sale","FORT HILL BROKERAGE GROUP, Kiet Bordley",4 Ballou Pl, Dorchester,MA,2124,3,2,1670
